curated_smiles,receptor,pChEMBL,molecule_chembl_id
Cc1cccc(S(=O)(=O)NCCCN2CC=C(c3c[nH]c4ccc(F)cc34)CC2)c1,5HT1A,7.180456064458131,CHEMBL4060649
Cc1cccc(S(=O)(=O)NCCCN2CC=C(c3c[nH]c4ccc(F)cc34)CC2)c1,5HT6,7.221848749616356,CHEMBL4060649
Cc1cccc(S(=O)(=O)NCCCN2CC=C(c3c[nH]c4ccc(F)cc34)CC2)c1,D2,7.769551078621726,CHEMBL4060649
Cc1cccc(S(=O)(=O)NCCCN2CCC(c3noc4cc(F)ccc34)CC2)c1,5HT2A,8.431798275933005,CHEMBL3289991
Cc1cccc(S(=O)(=O)NCCCN2CCC(c3noc4cc(F)ccc34)CC2)c1,5HT6,7.886056647693163,CHEMBL3289991
Cc1cccc(S(=O)(=O)NCCCN2CCC(c3noc4cc(F)ccc34)CC2)c1,D2,7.795880017344075,CHEMBL3289991
Cc1cccc(S(=O)(=O)NCCCN2CCN(c3noc4ccccc34)CC2)c1,5HT2A,5.376750709602099,CHEMBL3289967
Cc1cccc(S(=O)(=O)NCCCN2CCN(c3noc4ccccc34)CC2)c1,5HT6,5.823908740944319,CHEMBL3289967
Cc1cccc(S(=O)(=O)NCCCN2CCN(c3noc4ccccc34)CC2)c1,D2,5.698970004336019,CHEMBL3289967
Cc1cccc(S(=O)(=O)NCCCN2CCN(c3nsc4ccccc34)CC2)c1,5HT2A,8.886056647693163,CHEMBL3289709
Cc1cccc(S(=O)(=O)NCCCN2CCN(c3nsc4ccccc34)CC2)c1,5HT6,7.657577319177793,CHEMBL3289709
Cc1cccc(S(=O)(=O)NCCCN2CCN(c3nsc4ccccc34)CC2)c1,D2,7.886056647693163,CHEMBL3289709
Cc1cccc(S(=O)(=O)NCCN2CC=C(c3c(C)[nH]c4ccc(Cl)cc34)CC2)c1,5HT1A,7.154901959985743,CHEMBL4104596
Cc1cccc(S(=O)(=O)NCCN2CC=C(c3c(C)[nH]c4ccc(Cl)cc34)CC2)c1,5HT6,6.886056647693163,CHEMBL4104596
Cc1cccc(S(=O)(=O)NCCN2CC=C(c3c(C)[nH]c4ccc(Cl)cc34)CC2)c1,D2,6.455931955649724,CHEMBL4104596
Cc1cccc(S(=O)(=O)NCCN2CC=C(c3c[nH]c4ccc(Cl)cc34)CC2)c1,5HT1A,8.744727494896694,CHEMBL4065568
Cc1cccc(S(=O)(=O)NCCN2CC=C(c3c[nH]c4ccc(Cl)cc34)CC2)c1,5HT6,8.193820026016112,CHEMBL4065568
